# theta(rad)  log10(N_S)  adv_dB
0.209440  0.833333  1.63052424
0.209440  0.875000  1.63907221
0.209440  0.916667  1.64691720
0.209440  0.958333  1.65411069
0.209440  1.000000  1.66070146
0.209440  1.041667  1.66673555
0.209440  1.083333  1.67225624
0.209440  1.125000  1.67730409
0.209440  1.166667  1.68191696
0.209440  1.208333  1.68613017
0.209440  1.250000  1.68997651
0.209440  1.291667  1.69348642
0.209440  1.333333  1.69668806
0.209440  1.375000  1.69960746
0.209440  1.416667  1.70226861
0.209440  1.458333  1.70469364
0.209440  1.500000  1.70690290
0.209440  1.541667  1.70891509
0.209440  1.583333  1.71074737
0.209440  1.625000  1.71241548
0.209440  1.666667  1.71393384
0.209440  1.708333  1.71531567
0.209440  1.750000  1.71657305
0.209440  1.791667  1.71771701
0.209440  1.833333  1.71875767
0.209440  1.875000  1.71970423
0.209440  1.916667  1.72056511
0.209440  1.958333  1.72134799
0.209440  2.000000  1.72205988

0.261799  -3.000000  0.00418457
0.261799  -2.958333  0.00460479
0.261799  -2.916667  0.00506707
0.261799  -2.875000  0.00557561
0.261799  -2.833333  0.00613501
0.261799  -2.791667  0.00675030
0.261799  -2.750000  0.00742702
0.261799  -2.708333  0.00817127
0.261799  -2.666667  0.00898969
0.261799  -2.625000  0.00988960
0.261799  -2.583333  0.01087901
0.261799  -2.541667  0.01196671
0.261799  -2.500000  0.01316230
0.261799  -2.458333  0.01447631
0.261799  -2.416667  0.01592026
0.261799  -2.375000  0.01750673
0.261799  -2.333333  0.01924948
0.261799  -2.291667  0.02116351
0.261799  -2.250000  0.02326522
0.261799  -2.208333  0.02557244
0.261799  -2.166667  0.02810462
0.261799  -2.125000  0.03088289
0.261799  -2.083333  0.03393019
0.261799  -2.041667  0.03727143
0.261799  -2.000000  0.04093357
0.261799  -1.958333  0.04494576
0.261799  -1.916667  0.04933946
0.261799  -1.875000  0.05414855
0.261799  -1.833333  0.05940942
0.261799  -1.791667  0.06516109
0.261799  -1.750000  0.07144524
0.261799  -1.708333  0.07830629
0.261799  -1.666667  0.08579136
0.261799  -1.625000  0.09395029
0.261799  -1.583333  0.10283554
0.261799  -1.541667  0.11250203
0.261799  -1.500000  0.12300695
0.261799  -1.458333  0.13440947
0.261799  -1.416667  0.14677034
0.261799  -1.375000  0.16015139
0.261799  -1.333333  0.17461496
0.261799  -1.291667  0.19022310
0.261799  -1.250000  0.20703678
0.261799  -1.208333  0.22511478
0.261799  -1.166667  0.24451264
0.261799  -1.125000  0.26528131
0.261799  -1.083333  0.28746576
0.261799  -1.041667  0.31110348
0.261799  -1.000000  0.33622287
0.261799  -0.958333  0.36284164
0.261799  -0.916667  0.39096520
0.261799  -0.875000  0.42058511
0.261799  -0.833333  0.45167768
0.261799  -0.791667  0.48420276
